NCM,Descrição,Grupo/Subgrupo NCM,Grupo Beneficiado,PIS,COFINS,Incidência,Aplicação,Fundamentação,Outras Alíquotas,CST 02,CST 03,CST 04,Condição,Imagem
2710.19.10,Gás liquefeito de petróleo - GLP derivado de petróleo e de gás natural,Gás de petróleo e outros hidrocarbonetos gasosos,Combustíveis,"10,20%","47,40%",Monofásica,Incidentes sobre a receita bruta decorrente da venda,"Lei 9.718/98, art. 4º, incisos III e IV",Fica reduzida para zero as alíquotas aplicadas sobre a receita auferida com as vendas efetuadas pelos distribuidores e comerciantes varejistas,03 - Operação Tributada com alíquota por unidade de medida do produto (quando a venda for por unidade de medida nas vendas de importador ou fabricante),02 - Operação Tributada com alíquota diferenciada (quando for alíquota majorada incidente sobre o faturamento do industrial ou importador),04 - Operação tributável monofásica - Alíquota Zero (quando a revenda for realizada por varejista),Operação de venda promovida por produtores e importadores de derivados de petróleo,https://dliriummotel.com.br/wp-content/uploads/2018/06/Cerveja-Skol-Lata.jpg
2710.19.11,Querosenes,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos; preparações não especificadas nem compreendidas noutras posições, que contenham, como constituintes básicos, 70 % ou mais, em peso, de óleos de petróleo ou de minerais betuminosos; resíduos de óleos.",Combustíveis,"5,00%","23,20%",Monofásica,Incidentes sobre a receita bruta decorrente da venda,"Lei 10.560/02, art. 2º","MERCADO INTERNO: São reduzidas a zero as alíquotas da contribuição para o PIS/Pasep e da Cofins incidentes sobre a receita bruta decorrente da venda deste produto, pelas pessoas jurídicas não enquadradas na condição de industrial ou de de importador, para as pessoas jurídicas optantes pelo Simples Nacional é permitida a segregação de receitas de forma que serão desconsiderados no cálculo do valor devido no âmbito do Simples Nacional os percentuais a elas correspondentes (Resolução CGSN 140/18, art. 25 § 6º).",03 - Operação Tributada com alíquota por unidade de medida do produto (quando a venda for por unidade de medida nas vendas de importador ou fabricante),02 - Operação Tributada com alíquota diferenciada (quando for alíquota majorada incidente sobre o faturamento do industrial ou importador),04 - Operação tributável monofásica - Alíquota Zero (quando a revenda for realizada por atacadista ou varejista,Operação de venda promovida por produtores e importadores,https://formulachopp.cdn.3techstore.com.br/img/p/1/1/5/9/5/11595-large_default.jpg
1900.1.2,Óleo diesel e suas correntes,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos; preparações não especificadas nem compreendidas noutras posições, que contenham, como constituintes básicos, 70 % ou mais, em peso, de óleos de petróleo ou de minerais betuminosos; resíduos de óleos.",Combustíveis,"4,21%","19,42%",Monofásica,Incidentes sobre a receita bruta decorrente da venda,"Lei 9.718/98, art. 4º, incisos II e IV",Fica reduzida para zero as alíquotas aplicadas sobre a receita auferida com as vendas efetuadas pelos distribuidores e comerciantes varejistas,03 - Operação Tributada com alíquota por unidade de medida do produto (quando a venda for por unidade de medida nas vendas de importador ou fabricante),02 - Operação Tributada com alíquota diferenciada (quando for alíquota majorada incidente sobre o faturamento do industrial ou importador),04 - Operação tributável monofásica - Alíquota Zero (quando a revenda for realizada por varejista),Operação de venda promovida por produtores e importadores de derivados de petróleo,http://images.tcdn.com.br/img/img_prod/635197/cerveja_skol_lata_269ml_pack_com_15_unidades_619_1_20200321105050.jpg
1900.1.3,"De fígado, extratos de glândulas ou de outros órgãos ou das suas secreções","glândulas e outros órgãos, dessecados, mesmo em pó",Produtos Farmacêuticos,"2,10%","9,90%",Monofásica,Pessoas jurídicas que procedam à industrialização ou à importação deste produto,"Lei 10.147/2000, art. 1º , Inciso I, ""a""","MERCADO INTERNO: São reduzidas a zero as alíquotas da contribuição para o PIS/Pasep e da Cofins incidentes sobre a receita bruta decorrente da venda deste produto, pelas pessoas jurídicas não enquadradas na condição de industrial ou de de importador, para as pessoas jurídicas optantes pelo Simples Nacional é permita a segregação de receitas de forma que serão desconsiderados no cálculo do valor devido no âmbito do Simples Nacional os percentuais a elas correspondentes (Lei 10.147/2000, art. 2º e Resolução CGSN 140/18, art. 25§ 6º). IMPORTADOR: Ficam reduzidas a zero as alíquotas da Contribuição para o PIS/PASEP-Importação e da COFINS-Importação, incidentes sobre a operação de importação deste produto farmacêutico (Decreto 6.426/2008, art. 2º, inciso I)",02 - Operação Tributada com alíquota diferenciada (quando for alíquota majorada incidente sobre o faturamento do industrial ou importador),"04 - Operação tributável monofásica - Alíquota Zero (quando a revenda for realizada por pessoas jurídicas não enquadradas na condição de industrial ou de importador - Lei 10.147/2000, art. 2º)",,,https://paguemenos.vtexassets.com/arquivos/ids/271221-800-auto?width=800&height=auto&aspect=true
3001.20.90,"Outros, extratos de glândulas ou de outros órgãos ou das suas secreções","glândulas e outros órgãos, dessecados, mesmo em pó",Produtos Farmacêuticos,"2,10%","9,90%",Monofásica,Pessoas jurídicas que procedam à industrialização ou à importação deste produto,"Lei 10.147/2000, art. 1º , Inciso I, ""a""","MERCADO INTERNO: São reduzidas a zero as alíquotas da contribuição para o PIS/Pasep e da Cofins incidentes sobre a receita bruta decorrente da venda deste produto, pelas pessoas jurídicas não enquadradas na condição de industrial ou de de importador, para as pessoas jurídicas optantes pelo Simples Nacional é permita a segregação de receitas de forma que serão desconsiderados no cálculo do valor devido no âmbito do Simples Nacional os percentuais a elas correspondentes (Lei 10.147/2000, art. 2º e Resolução CGSN 140/18, art. 25§ 6º). IMPORTADOR: Ficam reduzidas a zero as alíquotas da Contribuição para o PIS/PASEP-Importação e da COFINS-Importação, incidentes sobre a operação de importação deste produto farmacêutico (Decreto 6.426/2008, art. 2º, inciso I)",02 - Operação Tributada com alíquota diferenciada (quando for alíquota majorada incidente sobre o faturamento do industrial ou importador),"04 - Operação tributável monofásica - Alíquota Zero (quando a revenda for realizada por pessoas jurídicas não enquadradas na condição de industrial ou de importador - Lei 10.147/2000, art. 2º)",,,https://paguemenos.vtexassets.com/arquivos/ids/284594-800-auto?width=800&height=auto&aspect=true
3001.90.10,Heparina e seus sais,"glândulas e outros órgãos, dessecados, mesmo em pó",Produtos Farmacêuticos,"2,10%","9,90%",Monofásica,Pessoas jurídicas que procedam à industrialização ou à importação deste produto,"Lei 10.147/2000, art. 1º , Inciso I, ""a""","MERCADO INTERNO: São reduzidas a zero as alíquotas da contribuição para o PIS/Pasep e da Cofins incidentes sobre a receita bruta decorrente da venda deste produto, pelas pessoas jurídicas não enquadradas na condição de industrial ou de de importador, para as pessoas jurídicas optantes pelo Simples Nacional é permita a segregação de receitas de forma que serão desconsiderados no cálculo do valor devido no âmbito do Simples Nacional os percentuais a elas correspondentes (Lei 10.147/2000, art. 2º e Resolução CGSN 140/18, art. 25 § 6º). IMPORTADOR: Ficam reduzidas a zero as alíquotas da Contribuição para o PIS/PASEP-Importação e da COFINS-Importação, incidentes sobre a operação de importação deste produto farmacêutico (Decreto 6.426/2008, art. 2º, inciso I)",02 - Operação Tributada com alíquota diferenciada (quando for alíquota majorada incidente sobre o faturamento do industrial ou importador),"04 - Operação tributável monofásica - Alíquota Zero (quando a revenda for realizada por pessoas jurídicas não enquadradas na condição de industrial ou de importador - Lei 10.147/2000, art. 2º)",,,
3001.90.20,Pedaços de pericárdio de origem bovina ou suína,"glândulas e outros órgãos, dessecados, mesmo em pó",Produtos Farmacêuticos,"2,10%","9,90%",Monofásica,Pessoas jurídicas que procedam à industrialização ou à importação deste produto,"Lei 10.147/2000, art. 1º , Inciso I, ""a""","MERCADO INTERNO: São reduzidas a zero as alíquotas da contribuição para o PIS/Pasep e da Cofins incidentes sobre a receita bruta decorrente da venda deste produto, pelas pessoas jurídicas não enquadradas na condição de industrial ou de de importador, para as pessoas jurídicas optantes pelo Simples Nacional é permita a segregação de receitas de forma que serão desconsiderados no cálculo do valor devido no âmbito do Simples Nacional os percentuais a elas correspondentes (Lei 10.147/2000, art. 2º e Resolução CGSN 140/18, art. 25 § 6º). IMPORTADOR: Ficam reduzidas a zero as alíquotas da Contribuição para o PIS/PASEP-Importação e da COFINS-Importação, incidentes sobre a operação de importação deste produto farmacêutico (Decreto 6.426/2008, art. 2º, inciso I)",02 - Operação Tributada com alíquota diferenciada (quando for alíquota majorada incidente sobre o faturamento do industrial ou importador),"04 - Operação tributável monofásica - Alíquota Zero (quando a revenda for realizada por pessoas jurídicas não enquadradas na condição de industrial ou de importador - Lei 10.147/2000, art. 2º)",,,
3001.90.31,Fígados,"glândulas e outros órgãos, dessecados, mesmo em pó",Produtos Farmacêuticos,"2,10%","9,90%",Monofásica,Pessoas jurídicas que procedam à industrialização ou à importação deste produto,"Lei 10.147/2000, art. 1º , Inciso I, ""a""","MERCADO INTERNO: São reduzidas a zero as alíquotas da contribuição para o PIS/Pasep e da Cofins incidentes sobre a receita bruta decorrente da venda deste produto, pelas pessoas jurídicas não enquadradas na condição de industrial ou de de importador, para as pessoas jurídicas optantes pelo Simples Nacional é permita a segregação de receitas de forma que serão desconsiderados no cálculo do valor devido no âmbito do Simples Nacional os percentuais a elas correspondentes (Lei 10.147/2000, art. 2º e Resolução CGSN 140/18, art. 25 § 6º). IMPORTADOR: Ficam reduzidas a zero as alíquotas da Contribuição para o PIS/PASEP-Importação e da COFINS-Importação, incidentes sobre a operação de importação deste produto farmacêutico (Decreto 6.426/2008, art. 2º, inciso I)",02 - Operação Tributada com alíquota diferenciada (quando for alíquota majorada incidente sobre o faturamento do industrial ou importador),"04 - Operação tributável monofásica - Alíquota Zero (quando a revenda for realizada por pessoas jurídicas não enquadradas na condição de industrial ou de importador - Lei 10.147/2000, art. 2º)",,,
3001.90.39,Outros,"glândulas e outros órgãos, dessecados, mesmo em pó",Produtos Farmacêuticos,"2,10%","9,90%",Monofásica,Pessoas jurídicas que procedam à industrialização ou à importação deste produto,"Lei 10.147/2000, art. 1º , Inciso I, ""a""","MERCADO INTERNO: São reduzidas a zero as alíquotas da contribuição para o PIS/Pasep e da Cofins incidentes sobre a receita bruta decorrente da venda deste produto, pelas pessoas jurídicas não enquadradas na condição de industrial ou de de importador, para as pessoas jurídicas optantes pelo Simples Nacional é permita a segregação de receitas de forma que serão desconsiderados no cálculo do valor devido no âmbito do Simples Nacional os percentuais a elas correspondentes (Lei 10.147/2000, art. 2º e Resolução CGSN 140/18, art. 25 § 6º). IMPORTADOR: Ficam reduzidas a zero as alíquotas da Contribuição para o PIS/PASEP-Importação e da COFINS-Importação, incidentes sobre a operação de importação deste produto farmacêutico (Decreto 6.426/2008, art. 2º, inciso I)",02 - Operação Tributada com alíquota diferenciada (quando for alíquota majorada incidente sobre o faturamento do industrial ou importador),"04 - Operação tributável monofásica - Alíquota Zero (quando a revenda for realizada por pessoas jurídicas não enquadradas na condição de industrial ou de importador - Lei 10.147/2000, art. 2º)",,,
3001.90.90,Outros,"glândulas e outros órgãos, dessecados, mesmo em pó",Produtos Farmacêuticos,"2,10%","9,90%",Monofásica,Pessoas jurídicas que procedam à industrialização ou à importação deste produto,"Lei 10.147/2000, art. 1º , Inciso I, ""a""","MERCADO INTERNO: São reduzidas a zero as alíquotas da contribuição para o PIS/Pasep e da Cofins incidentes sobre a receita bruta decorrente da venda deste produto, pelas pessoas jurídicas não enquadradas na condição de industrial ou de de importador, para as pessoas jurídicas optantes pelo Simples Nacional é permita a segregação de receitas de forma que serão desconsiderados no cálculo do valor devido no âmbito do Simples Nacional os percentuais a elas correspondentes (Lei 10.147/2000, art. 2º e Resolução CGSN 140/18, art. 25 § 6º). IMPORTADOR: Ficam reduzidas a zero as alíquotas da Contribuição para o PIS/PASEP-Importação e da COFINS-Importação, incidentes sobre a operação de importação deste produto farmacêutico (Decreto 6.426/2008, art. 2º, inciso I)",02 - Operação Tributada com alíquota diferenciada (quando for alíquota majorada incidente sobre o faturamento do industrial ou importador),"04 - Operação tributável monofásica - Alíquota Zero (quando a revenda for realizada por pessoas jurídicas não enquadradas na condição de industrial ou de importador - Lei 10.147/2000, art. 2º)",,,
3002.10.11,LAsparaginase,antisoros específicos de animais ou de pessoas imunizados,Produtos Farmacêuticos,"2,10%","9,90%",Monofásica,Pessoas jurídicas que procedam à industrialização ou à importação deste produto,"Lei 10.147/2000, art. 1º , Inciso I, ""a""","MERCADO INTERNO: São reduzidas a zero as alíquotas da contribuição para o PIS/Pasep e da Cofins incidentes sobre a receita bruta decorrente da venda deste produto, pelas pessoas jurídicas não enquadradas na condição de industrial ou de de importador, para as pessoas jurídicas optantes pelo Simples Nacional é permita a segregação de receitas de forma que serão desconsiderados no cálculo do valor devido no âmbito do Simples Nacional os percentuais a elas correspondentes (Lei 10.147/2000, art. 2º e Resolução CGSN 140/18, art. 25 § 6º). IMPORTADOR: Ficam reduzidas a zero as alíquotas da Contribuição para o PIS/PASEP-Importação e da COFINS-Importação, incidentes sobre a operação de importação deste produto farmacêutico (Decreto 6.426/2008, art. 2º, inciso II)",02 - Operação Tributada com alíquota diferenciada (quando for alíquota majorada incidente sobre o faturamento do industrial ou importador),"04 - Operação tributável monofásica - Alíquota Zero (quando a revenda for realizada por pessoas jurídicas não enquadradas na condição de industrial ou de importador - Lei 10.147/2000, art. 2º)",,,
3002.10.12,"Antitetânico,",antisoros específicos de animais ou de pessoas imunizados,Produtos Farmacêuticos,"2,10%","9,90%",Monofásica,Pessoas jurídicas que procedam à industrialização ou à importação deste produto,"Lei 10.147/2000, art. 1º , Inciso I, ""a""","MERCADO INTERNO: São reduzidas a zero as alíquotas da contribuição para o PIS/Pasep e da Cofins incidentes sobre a receita bruta decorrente da venda deste produto, pelas pessoas jurídicas não enquadradas na condição de industrial ou de de importador, para as pessoas jurídicas optantes pelo Simples Nacional é permita a segregação de receitas de forma que serão desconsiderados no cálculo do valor devido no âmbito do Simples Nacional os percentuais a elas correspondentes (Lei 10.147/2000, art. 2º e Resolução CGSN 140/18, art. 25 § 6º). IMPORTADOR: Ficam reduzidas a zero as alíquotas da Contribuição para o PIS/PASEP-Importação e da COFINS-Importação, incidentes sobre a operação de importação deste produto farmacêutico (Decreto 6.426/2008, art. 2º, inciso II)",02 - Operação Tributada com alíquota diferenciada (quando for alíquota majorada incidente sobre o faturamento do industrial ou importador),"04 - Operação tributável monofásica - Alíquota Zero (quando a revenda for realizada por pessoas jurídicas não enquadradas na condição de industrial ou de importador - Lei 10.147/2000, art. 2º)",,,
3002.10.13,Anticatarral,antisoros específicos de animais ou de pessoas imunizados,Produtos Farmacêuticos,"2,10%","9,90%",Monofásica,Pessoas jurídicas que procedam à industrialização ou à importação deste produto,"Lei 10.147/2000, art. 1º , Inciso I, ""a""","MERCADO INTERNO: São reduzidas a zero as alíquotas da contribuição para o PIS/Pasep e da Cofins incidentes sobre a receita bruta decorrente da venda deste produto, pelas pessoas jurídicas não enquadradas na condição de industrial ou de de importador, para as pessoas jurídicas optantes pelo Simples Nacional é permita a segregação de receitas de forma que serão desconsiderados no cálculo do valor devido no âmbito do Simples Nacional os percentuais a elas correspondentes (Lei 10.147/2000, art. 2º e Resolução CGSN 140/18, art. 25 § 6º). IMPORTADOR: Ficam reduzidas a zero as alíquotas da Contribuição para o PIS/PASEP-Importação e da COFINS-Importação, incidentes sobre a operação de importação deste produto farmacêutico (Decreto 6.426/2008, art. 2º, inciso II)",02 - Operação Tributada com alíquota diferenciada (quando for alíquota majorada incidente sobre o faturamento do industrial ou importador),"04 - Operação tributável monofásica - Alíquota Zero (quando a revenda for realizada por pessoas jurídicas não enquadradas na condição de industrial ou de importador - Lei 10.147/2000, art. 2º)",,,
3002.10.14,Antipiogênico,antisoros específicos de animais ou de pessoas imunizados,Produtos Farmacêuticos,"2,10%","9,90%",Monofásica,Pessoas jurídicas que procedam à industrialização ou à importação deste produto,"Lei 10.147/2000, art. 1º , Inciso I, ""a""","MERCADO INTERNO: São reduzidas a zero as alíquotas da contribuição para o PIS/Pasep e da Cofins incidentes sobre a receita bruta decorrente da venda deste produto, pelas pessoas jurídicas não enquadradas na condição de industrial ou de de importador, para as pessoas jurídicas optantes pelo Simples Nacional é permita a segregação de receitas de forma que serão desconsiderados no cálculo do valor devido no âmbito do Simples Nacional os percentuais a elas correspondentes (Lei 10.147/2000, art. 2º e Resolução CGSN 140/18, art. 25 § 6º). IMPORTADOR: Ficam reduzidas a zero as alíquotas da Contribuição para o PIS/PASEP-Importação e da COFINS-Importação, incidentes sobre a operação de importação deste produto farmacêutico (Decreto 6.426/2008, art. 2º, inciso II)",02 - Operação Tributada com alíquota diferenciada (quando for alíquota majorada incidente sobre o faturamento do industrial ou importador),"04 - Operação tributável monofásica - Alíquota Zero (quando a revenda for realizada por pessoas jurídicas não enquadradas na condição de industrial ou de importador - Lei 10.147/2000, art. 2º)",,,
3002.10.15,Antidiftérico,antisoros específicos de animais ou de pessoas imunizados,Produtos Farmacêuticos,"2,10%","9,90%",Monofásica,Pessoas jurídicas que procedam à industrialização ou à importação deste produto,"Lei 10.147/2000, art. 1º , Inciso I, ""a""","MERCADO INTERNO: São reduzidas a zero as alíquotas da contribuição para o PIS/Pasep e da Cofins incidentes sobre a receita bruta decorrente da venda deste produto, pelas pessoas jurídicas não enquadradas na condição de industrial ou de de importador, para as pessoas jurídicas optantes pelo Simples Nacional é permita a segregação de receitas de forma que serão desconsiderados no cálculo do valor devido no âmbito do Simples Nacional os percentuais a elas correspondentes (Lei 10.147/2000, art. 2º e Resolução CGSN 140/18, art. 25 § 6º). IMPORTADOR: Ficam reduzidas a zero as alíquotas da Contribuição para o PIS/PASEP-Importação e da COFINS-Importação, incidentes sobre a operação de importação deste produto farmacêutico (Decreto 6.426/2008, art. 2º, inciso II)",02 - Operação Tributada com alíquota diferenciada (quando for alíquota majorada incidente sobre o faturamento do industrial ou importador),"04 - Operação tributável monofásica - Alíquota Zero (quando a revenda for realizada por pessoas jurídicas não enquadradas na condição de industrial ou de importador - Lei 10.147/2000, art. 2º)",,,
3002.10.16,Polivalentes,antisoros específicos de animais ou de pessoas imunizados,Produtos Farmacêuticos,"2,10%","9,90%",Monofásica,Pessoas jurídicas que procedam à industrialização ou à importação deste produto,"Lei 10.147/2000, art. 1º , Inciso I, ""a""","MERCADO INTERNO: São reduzidas a zero as alíquotas da contribuição para o PIS/Pasep e da Cofins incidentes sobre a receita bruta decorrente da venda deste produto, pelas pessoas jurídicas não enquadradas na condição de industrial ou de de importador, para as pessoas jurídicas optantes pelo Simples Nacional é permita a segregação de receitas de forma que serão desconsiderados no cálculo do valor devido no âmbito do Simples Nacional os percentuais a elas correspondentes (Lei 10.147/2000, art. 2º e Resolução CGSN 140/18, art. 25 § 6º). IMPORTADOR: Ficam reduzidas a zero as alíquotas da Contribuição para o PIS/PASEP-Importação e da COFINS-Importação, incidentes sobre a operação de importação deste produto farmacêutico (Decreto 6.426/2008, art. 2º, inciso II)",02 - Operação Tributada com alíquota diferenciada (quando for alíquota majorada incidente sobre o faturamento do industrial ou importador),"04 - Operação tributável monofásica - Alíquota Zero (quando a revenda for realizada por pessoas jurídicas não enquadradas na condição de industrial ou de importador - Lei 10.147/2000, art. 2º)",,,
3002.10.19,Outros,antisoros específicos de animais ou de pessoas imunizados,Produtos Farmacêuticos,"2,10%","9,90%",Monofásica,Pessoas jurídicas que procedam à industrialização ou à importação deste produto,"Lei 10.147/2000, art. 1º , Inciso I, ""a""","MERCADO INTERNO: São reduzidas a zero as alíquotas da contribuição para o PIS/Pasep e da Cofins incidentes sobre a receita bruta decorrente da venda deste produto, pelas pessoas jurídicas não enquadradas na condição de industrial ou de de importador, para as pessoas jurídicas optantes pelo Simples Nacional é permita a segregação de receitas de forma que serão desconsiderados no cálculo do valor devido no âmbito do Simples Nacional os percentuais a elas correspondentes (Lei 10.147/2000, art. 2º e Resolução CGSN 140/18, art. 25 § 6º). IMPORTADOR: Ficam reduzidas a zero as alíquotas da Contribuição para o PIS/PASEP-Importação e da COFINS-Importação, incidentes sobre a operação de importação deste produto farmacêutico (Decreto 6.426/2008, art. 2º, inciso II)",02 - Operação Tributada com alíquota diferenciada (quando for alíquota majorada incidente sobre o faturamento do industrial ou importador),"04 - Operação tributável monofásica - Alíquota Zero (quando a revenda for realizada por pessoas jurídicas não enquadradas na condição de industrial ou de importador - Lei 10.147/2000, art. 2º)",,,
3002.10.22,Imunoglobulina antiRh,"outras frações do sangue e produtos imunológicos, exceto os preparados como medicamentos",Produtos Farmacêuticos,"2,10%","9,90%",Monofásica,Pessoas jurídicas que procedam à industrialização ou à importação deste produto,"Lei 10.147/2000, art. 1º , Inciso I, ""a""","MERCADO INTERNO: São reduzidas a zero as alíquotas da contribuição para o PIS/Pasep e da Cofins incidentes sobre a receita bruta decorrente da venda deste produto, pelas pessoas jurídicas não enquadradas na condição de industrial ou de de importador, para as pessoas jurídicas optantes pelo Simples Nacional é permita a segregação de receitas de forma que serão desconsiderados no cálculo do valor devido no âmbito do Simples Nacional os percentuais a elas correspondentes (Lei 10.147/2000, art. 2º e Resolução CGSN 140/18, art. 25 § 6º). IMPORTADOR: Ficam reduzidas a zero as alíquotas da Contribuição para o PIS/PASEP-Importação e da COFINS-Importação, incidentes sobre a operação de importação deste produto farmacêutico (Decreto 6.426/2008, art. 2º, inciso II)",02 - Operação Tributada com alíquota diferenciada (quando for alíquota majorada incidente sobre o faturamento do industrial ou importador),"04 - Operação tributável monofásica - Alíquota Zero (quando a revenda for realizada por pessoas jurídicas não enquadradas na condição de industrial ou de importador - Lei 10.147/2000, art. 2º)",,,
3002.10.23,Outras imunoglobulinas séricas,"outras frações do sangue e produtos imunológicos, exceto os preparados como medicamentos",Produtos Farmacêuticos,"2,10%","9,90%",Monofásica,Pessoas jurídicas que procedam à industrialização ou à importação deste produto,"Lei 10.147/2000, art. 1º , Inciso I, ""a""","MERCADO INTERNO: São reduzidas a zero as alíquotas da contribuição para o PIS/Pasep e da Cofins incidentes sobre a receita bruta decorrente da venda deste produto, pelas pessoas jurídicas não enquadradas na condição de industrial ou de de importador, para as pessoas jurídicas optantes pelo Simples Nacional é permita a segregação de receitas de forma que serão desconsiderados no cálculo do valor devido no âmbito do Simples Nacional os percentuais a elas correspondentes (Lei 10.147/2000, art. 2º e Resolução CGSN 140/18, art. 25 § 6º). IMPORTADOR: Ficam reduzidas a zero as alíquotas da Contribuição para o PIS/PASEP-Importação e da COFINS-Importação, incidentes sobre a operação de importação deste produto farmacêutico (Decreto 6.426/2008, art. 2º, inciso II)",02 - Operação Tributada com alíquota diferenciada (quando for alíquota majorada incidente sobre o faturamento do industrial ou importador),"04 - Operação tributável monofásica - Alíquota Zero (quando a revenda for realizada por pessoas jurídicas não enquadradas na condição de industrial ou de importador - Lei 10.147/2000, art. 2º)",,,
3002.10.24,Concentrado de fator VIII,"outras frações do sangue e produtos imunológicos, exceto os preparados como medicamentos",Produtos Farmacêuticos,"2,10%","9,90%",Monofásica,Pessoas jurídicas que procedam à industrialização ou à importação deste produto,"Lei 10.147/2000, art. 1º , Inciso I, ""a""","MERCADO INTERNO: São reduzidas a zero as alíquotas da contribuição para o PIS/Pasep e da Cofins incidentes sobre a receita bruta decorrente da venda deste produto, pelas pessoas jurídicas não enquadradas na condição de industrial ou de de importador, para as pessoas jurídicas optantes pelo Simples Nacional é permita a segregação de receitas de forma que serão desconsiderados no cálculo do valor devido no âmbito do Simples Nacional os percentuais a elas correspondentes (Lei 10.147/2000, art. 2º e Resolução CGSN 140/18, art. 25 § 6º). IMPORTADOR: Ficam reduzidas a zero as alíquotas da Contribuição para o PIS/PASEP-Importação e da COFINS-Importação, incidentes sobre a operação de importação deste produto farmacêutico (Decreto 6.426/2008, art. 2º, inciso II)",02 - Operação Tributada com alíquota diferenciada (quando for alíquota majorada incidente sobre o faturamento do industrial ou importador),"04 - Operação tributável monofásica - Alíquota Zero (quando a revenda for realizada por pessoas jurídicas não enquadradas na condição de industrial ou de importador - Lei 10.147/2000, art. 2º)",,,
3002.10.25,"Soroalbumina, em forma de gel, para preparação de reagentes de diagnóstico","outras frações do sangue e produtos imunológicos, exceto os preparados como medicamentos",Produtos Farmacêuticos,"2,10%","9,90%",Monofásica,Pessoas jurídicas que procedam à industrialização ou à importação deste produto,"Lei 10.147/2000, art. 1º , Inciso I, ""a""","MERCADO INTERNO: São reduzidas a zero as alíquotas da contribuição para o PIS/Pasep e da Cofins incidentes sobre a receita bruta decorrente da venda deste produto, pelas pessoas jurídicas não enquadradas na condição de industrial ou de de importador, para as pessoas jurídicas optantes pelo Simples Nacional é permita a segregação de receitas de forma que serão desconsiderados no cálculo do valor devido no âmbito do Simples Nacional os percentuais a elas correspondentes (Lei 10.147/2000, art. 2º e Resolução CGSN 140/18, art. 25 § 6º). IMPORTADOR: Ficam reduzidas a zero as alíquotas da Contribuição para o PIS/PASEP-Importação e da COFINS-Importação, incidentes sobre a operação de importação deste produto farmacêutico (Decreto 6.426/2008, art. 2º, inciso II)",02 - Operação Tributada com alíquota diferenciada (quando for alíquota majorada incidente sobre o faturamento do industrial ou importador),"04 - Operação tributável monofásica - Alíquota Zero (quando a revenda for realizada por pessoas jurídicas não enquadradas na condição de industrial ou de importador - Lei 10.147/2000, art. 2º)",,,
3002.10.26,"Anticorpos monoclonais em solução tampão, contendo albumina bovina","outras frações do sangue e produtos imunológicos, exceto os preparados como medicamentos",Produtos Farmacêuticos,"2,10%","9,90%",Monofásica,Pessoas jurídicas que procedam à industrialização ou à importação deste produto,"Lei 10.147/2000, art. 1º , Inciso I, ""a""","MERCADO INTERNO: São reduzidas a zero as alíquotas da contribuição para o PIS/Pasep e da Cofins incidentes sobre a receita bruta decorrente da venda deste produto, pelas pessoas jurídicas não enquadradas na condição de industrial ou de de importador, para as pessoas jurídicas optantes pelo Simples Nacional é permita a segregação de receitas de forma que serão desconsiderados no cálculo do valor devido no âmbito do Simples Nacional os percentuais a elas correspondentes (Lei 10.147/2000, art. 2º e Resolução CGSN 140/18, art. 25 § 6º). IMPORTADOR: Ficam reduzidas a zero as alíquotas da Contribuição para o PIS/PASEP-Importação e da COFINS-Importação, incidentes sobre a operação de importação deste produto farmacêutico (Decreto 6.426/2008, art. 2º, inciso II)",02 - Operação Tributada com alíquota diferenciada (quando for alíquota majorada incidente sobre o faturamento do industrial ou importador),"04 - Operação tributável monofásica - Alíquota Zero (quando a revenda for realizada por pessoas jurídicas não enquadradas na condição de industrial ou de importador - Lei 10.147/2000, art. 2º)",,,
3002.10.29,Outros,"outras frações do sangue e produtos imunológicos, exceto os preparados como medicamentos",Produtos Farmacêuticos,"2,10%","9,90%",Monofásica,Pessoas jurídicas que procedam à industrialização ou à importação deste produto,"Lei 10.147/2000, art. 1º , Inciso I, ""a""","MERCADO INTERNO: São reduzidas a zero as alíquotas da contribuição para o PIS/Pasep e da Cofins incidentes sobre a receita bruta decorrente da venda deste produto, pelas pessoas jurídicas não enquadradas na condição de industrial ou de de importador, para as pessoas jurídicas optantes pelo Simples Nacional é permita a segregação de receitas de forma que serão desconsiderados no cálculo do valor devido no âmbito do Simples Nacional os percentuais a elas correspondentes (Lei 10.147/2000, art. 2º e Resolução CGSN 140/18, art. 25 § 6º). IMPORTADOR: Ficam reduzidas a zero as alíquotas da Contribuição para o PIS/PASEP-Importação e da COFINS-Importação, incidentes sobre a operação de importação deste produto farmacêutico (Decreto 6.426/2008, art. 2º, inciso II)",02 - Operação Tributada com alíquota diferenciada (quando for alíquota majorada incidente sobre o faturamento do industrial ou importador),"04 - Operação tributável monofásica - Alíquota Zero (quando a revenda for realizada por pessoas jurídicas não enquadradas na condição de industrial ou de importador - Lei 10.147/2000, art. 2º)",,,
