ncm,descricao,natureza_receita
22030000,Cerveja de Malte (Monofasico),001
22021000,Refrigerantes e Aguas (Monofasico),001
30049099,Medicamentos (Monofasico),101
33049990,Produtos de Beleza (Monofasico),102
40111000,Pneus Novos de Carros (Monofasico),201
87089990,Autopeças Diversas (Monofasico),201
27101259,Gasolina Automotiva (Monofasico),301
